Title,Body
Древо навыков,"**Описание.** Добавить активные и пассивные навыки игрока. **Шаги реализации:** - Расширить `Player` списком навыков и очков развития. - Реализовать сервис выбора навыков и требований. - Сохранять навыки в профиле. **Результат.** Игрок открывает навыки, влияющие на бой и исследования."
Бои с несколькими противниками,"**Описание.** Поддержать бои против группы врагов. **Шаги реализации:** - Обновить `BattleContext` для нескольких врагов. - Добавить выбор цели в `TurnAction`. - Генерировать волны противников в `GameService`. **Результат.** Игрок сражается с несколькими врагами одновременно."
Статусы и эффекты,"**Описание.** Реализовать временные эффекты. **Шаги реализации:** - Добавить список эффектов в `Character`. - Обрабатывать эффекты в боях и при смене времени. - Сохранять состояние эффектов. **Результат.** Эффекты влияют на характеристики и события."
Генератор локаций,"**Описание.** Создать процедурные локации. **Шаги реализации:** - Описать структуру данных локации. - Сгенерировать мир на основе шаблонов JSON. - Добавить команду перехода между локациями. **Результат.** Игрок исследует собранные области."
Диалоговая система,"**Описание.** Ввести диалоги с NPC. **Шаги реализации:** - Создать структуру узлов и ответов. - Реализовать команду UI для диалогов. - Сохранять прогресс и влияние на квесты. **Результат.** Диалоги влияют на сюжет и репутацию."
Лагерь и восстановление,"**Описание.** Реализовать режим отдыха. **Шаги реализации:** - Добавить команду "Лагерь" в UI. - В сервисе восстановить здоровье и очистить эффекты. - Логировать события лагеря. **Результат.** Игрок управляет ресурсами между боями."
Журнал квестов в интерфейсе,"**Описание.** Отобразить активные и завершённые задания. **Шаги реализации:** - Добавить команду просмотра журнала. - Сформировать сводку в `GameService`. - Вывести статусы целей и наград. **Результат.** Игрок видит прогресс по квестам."
Экспорт журнала событий,"**Описание.** Сохранять историю приключения в файл. **Шаги реализации:** - Сформировать отчёт по `log`. - Сохранить текст в `reports/` с отметкой времени. - Добавить команду экспорта в UI. **Результат.** Игрок делится историей прохождения."
Настройки сложности,"**Описание.** Добавить уровни сложности. **Шаги реализации:** - Описать профили сложности в `Settings`. - Применять модификаторы в `GameService`. - Сохранять выбор игрока. **Результат.** Сложность настраивается под предпочтения."
Несколько слотов сохранения,"**Описание.** Реализовать систему слотов. **Шаги реализации:** - Создать структуру каталогов `saves/slot_<n>/`. - Добавить выбор слота в UI. - Обновить сервис сохранения и загрузки. **Результат.** Игрок хранит несколько приключений."
Репутация фракций,"**Описание.** Ввести фракции и отношения. **Шаги реализации:** - Добавить список фракций и уровни доверия. - Связать репутацию с квестами и диалогами. - Отображать влияние в сводке. **Результат.** Выбор игрока отражается на фракциях."
Режим арены,"**Описание.** Создать бесконечные волны врагов. **Шаги реализации:** - Реализовать генерацию волн с ростом сложности. - Добавить меню входа и выхода из арены. - Вести статистику рекордов и наград. **Результат.** Игрок соревнуется за максимальный счёт."
Крафт предметов,"**Описание.** Позволить создавать предметы из ресурсов. **Шаги реализации:** - Описать рецепты в `data/recipes.json`. - Проверять ресурсы и создавать предметы в сервисе. - Добавить опцию крафта в меню лагеря. **Результат.** Игрок создаёт предметы из найденных материалов."
Система достижений,"**Описание.** Добавить достижения за действия игрока. **Шаги реализации:** - Описать достижения в `data/achievements.json`. - Отслеживать выполнение условий в `GameService`. - Выводить достижения в UI. **Результат.** Игрок видит цели для повторных прохождений."
Экспорт персонажа,"**Описание.** Сохранять карточку героя. **Шаги реализации:** - Подготовить шаблон текстового файла. - Сформировать файл с характеристиками и навыками. - Добавить команду "Экспорт героя" в UI. **Результат.** Игрок получает файл с описанием персонажа."
