Title,Body
Шаблоны повторяющихся задач,"Добавить поле recurrence и автоматическое создание следующей задачи после завершения. Результат: при завершении повторяющаяся задача появляется снова с новым дедлайном."
Массовые операции,"Добавить команды bulk complete/delete по тегу с выводом числа обработанных задач. Результат: группы задач можно завершать и удалять одной командой."
Планировщик напоминаний,"При запуске анализировать дедлайны и печатать предупреждения о срочных задачах. Результат: пользователь видит сводку задач на сегодня и просроченных."
Команда stats,"Собрать агрегаты (всего, выполнено, просрочено, активно) и сохранять их в reports/stats.txt. Результат: команда stats выводит сводку и создаёт файл отчёта."
История изменений задач,"Добавить журнал событий в Task и команду history <title> для просмотра. Результат: можно увидеть изменения и время операций над задачей."
Поддержка приоритетов,"Добавить поле priority и сортировку списка задач по приоритету и дедлайну. Результат: list показывает задачи в порядке важности."
Шаблоны экспорта отчётов,"Хранить текст шаблонов в templates/ и формировать отчёты через str.format и настройки локали. Результат: отчёты формируются по единому шаблону."
Режим только для чтения,"Добавить флаг --read-only, запрещающий операции записи и создание отчётов. Результат: приложение можно запускать для просмотра без риска изменить данные."
Дополнительные форматы экспорта,"Реализовать экспорт задач в JSON и команду export json <path>. Результат: пользователь получает копию задач в формате JSON."
Импорт из JSON,"Добавить команду import json <path> с проверкой данных и объединением задач. Результат: задачи из JSON корректно добавляются к текущему списку."
Расширенный поиск,"Поддержать операторы AND/OR, поиск по нескольким полям и опцию --case-sensitive. Результат: команда search принимает сложные запросы."
Автосохранение,"Автоматически сохранять данные после операций и периодически по таймеру. Результат: изменения не теряются при неожиданных сбоях."
Настройки пользователя,"Хранить параметры в config/user_settings.json и управлять ими через команду settings. Результат: пользователь настраивает формат даты, язык и поведение отчётов."
Резервное копирование,"Перед записью создавать резервные копии в каталоге backups/ и поддерживать восстановление. Результат: данные можно откатить к сохранённой версии."
Нагрузочное тестирование,"Сгенерировать 10 000 задач скриптом tools/ и задокументировать выводы о производительности. Результат: команда знает пределы производительности и узкие места."
