Title,Body
Подготовка служебных каталогов,"Создать каталоги data/, logs/ и reports/ при запуске приложения. Обновить Settings и ConsoleApplication для инициализации директорий. Результат: после python main.py каталоги существуют без ошибок."
Расширение модели задачи,"Добавить полям Task описание, дедлайн, статус и теги вместе с методами изменения значений. Результат: экземпляр Task поддерживает обновление данных и статуса."
Реализация базового трекера,"Реализовать хранение задач в TaskTracker и методы add_task, all_tasks, find_by_title. Результат: задачи добавляются и находятся в памяти."
Загрузка стартового набора задач,"Настроить TaskTracker.load_initial и вызов из сервиса после чтения CSV. Результат: задачи из файла появляются в памяти при запуске."
Простейший консольный цикл,"Реализовать CommandLoop.run с input(), игнорировать пустые строки и добавить команду help. Результат: пользователь видит приглашение и справку по командам."
Команда выхода,"Добавить обработку команды exit, печатать прощальное сообщение и завершать цикл. Результат: приложение корректно завершает работу без исключений."
Создание задач через CLI,"Реализовать команду add с поэтапным вводом и проверкой заголовка, вызвать TaskService.create_task. Результат: задача появляется в памяти и отображается в списке."
Вывод списка задач,"Добавить сервисный метод и команду list с табличным выводом и форматированием дат. Результат: список задач отображается в консоли."
Сохранение в CSV,"Реализовать CsvTaskRepository.save с использованием csv и созданием файла. Результат: data/tasks.csv содержит актуальные данные."
Загрузка из CSV,"Реализовать CsvTaskRepository.load, обрабатывать пустые значения и создавать Task. Результат: задачи восстанавливаются при следующем запуске."
Отметка выполнения задач,"Добавить команду complete <title>, смену статуса и сохранение CSV. Результат: статус задачи переключается и отображается обновлённым."
Удаление задач,"Реализовать удаление по заголовку в трекере, сервисе и команде delete. Результат: задача исчезает из памяти и CSV."
Фильтрация по статусу,"Добавить метод фильтрации в трекер и команду filter status <done|todo>. Результат: выводятся только задачи выбранного статуса."
Фильтрация по тегам,"Реализовать фильтр по тегам и команду filter tag с поддержкой нескольких тегов. Результат: отображаются задачи с указанными тегами."
Фильтрация по дедлайну,"Добавить фильтр по дате и команду filter due YYYY-MM-DD с проверкой формата. Результат: показан список задач с нужным дедлайном."
Команда поиска по тексту,"Реализовать нечувствительный к регистру поиск по заголовку и описанию (search <query>). Результат: выводятся задачи, содержащие подстроку."
Редактирование задач,"Добавить сервисное обновление данных и команду edit <title> с вводом новых значений. Результат: изменённая задача сохраняется и отображается."
Импорт задач из CSV,"Добавить импорт из внешнего CSV с заменой текущих данных (команда import <path>). Результат: задачи заменяются данными из файла и сохраняются."
Экспорт задач в CSV,"Реализовать команду export <path> и запись в произвольный файл. Результат: пользователь получает копию задач по указанному пути."
Логирование действий,"Настроить logging и логировать создание, изменение, удаление, импорт, экспорт. Результат: logs/app.log содержит записи операций."
Отчёт на сегодня,"Создать отчёт daily_YYYYMMDD.txt с задачами на текущую дату (команда report daily). Результат: файл появляется в каталоге reports/."
Отчёт на неделю,"Сформировать отчёт weekly_YYYYWW.txt с задачами на ближайшую неделю. Результат: файл добавляется в reports/ после команды report weekly."
Пользовательский отчёт,"Реализовать report custom для текущего фильтра с сохранением в reports/custom.txt. Результат: файл содержит задачи и метаданные фильтра."
Быстрые подсказки команд,"Расширить help структурированными секциями и примерами. Результат: справка читаема и отражает все доступные команды."
Подготовка справочных материалов,"Обновить README и ТЗ после реализации базового функционала, добавить ссылки на документацию. Результат: документация описывает текущее состояние проекта."
